handle,followers,tier,updated,note
vhtfFDMpAO31113,300,A,2026-06-30,
pinky07643969,148,A,2026-06-30,
matutakenet,14113,B,2026-06-30,
PokeGoSKYYRED,1201,A,2026-06-30,
kitaichi117,433,A,2026-06-30,
akira_akiramero,13332,B,2026-06-30,
GoGo_3714,1509,A,2026-07-01,
hare_pachi,3529,A,2026-07-02,
mushokutomei777,820,A,2026-07-02,
syuzior,20770,B,2026-07-02,
Kaaasan135888,90,A,2026-07-02,
prowaasan,67939,B,2026-07-04,
Lonely3699,81,A,2026-07-10,
rudopachi,1927,A,2026-07-13,
ta_kun_Pachi,250,A,2026-07-15,
k5VoAXPy8n9144,397,A,2026-07-13,
patilight120,2646,A,2026-07-13,
Pazu1010_,1487,A,2026-07-15,
HisatuShingo,367,A,2026-07-15,
uturo0624,573,A,2026-07-15,
nano25r,131,A,2026-07-15,
mobabaccarat,1276,A,2026-07-16,
rin_ymod,627,A,2026-07-18,
inugumahan,263,A,2026-07-18,
musouvsyukichi,8510,B,2026-07-18,
babababkj,170,A,2026-07-18,
KFC2929ttm,1754,A,2026-07-18,
reo38880,798,A,2026-07-18,
daga_soregaE,558,A,2026-07-18,
DuelistWw,560,A,2026-07-18,
kono_syunkann,3047,A,2026-07-18,
p_curation,38545,B,2026-07-18,
VeraAdela76468,2,A,2026-07-18,
NXWiXRdmPz96136,480,A,2026-07-18,
Team0808Pink,2482,A,2026-07-18,
Cbjw3S9xphcVEk,692,A,2026-07-18,
cluerlYWsoSW35T,20039,B,2026-07-18,
_ku_ro_ro_,124,A,2026-07-18,
18ism_slo39,1020,A,2026-07-18,
MaruhanSlayer,770,A,2026-07-18,
kibutsugimuzan7,422,A,2026-07-18,
Lum65536,2254,A,2026-07-18,
